StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,A_VE_AW_1,A_VE_AW_2,A_VE_AW_3_1,A_VE_AW_3_2,A_VE_AW_3_3,A_VE_AW_3_4,A_VE_AW_3_5,A_VE_PI_1,A_VE_PI_2,A_VE_PI_3,A_VE_BI_1_1,A_VE_BI_1_2,A_VE_BI_1_3,A_VE_BI_1_4,A_VE_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,A_AR_AW_1,A_AR_AW_2,A_AR_AW_3_1,A_AR_AW_3_2,A_AR_AW_3_3,A_AR_AW_3_4,A_AR_AW_3_5,A_AR_PI_1,A_AR_PI_2,A_AR_PI_3,A_AR_BI_1_1,A_AR_BI_1_2,A_AR_BI_1_3,A_AR_BI_1_4,A_AR_BI_1_5,Q61_1,Q61_2,Q61_3,Q61_4,Q61_5,Q61_6,B_AR_AW_1,B_AR_AW_2,B_AR_AW_3_1,B_AR_AW_3_2,B_AR_AW_3_3,B_AR_AW_3_4,B_AR_AW_3_5,B_AR_PI_1,B_AR_PI_2,B_AR_PI_3,B_AR_BI_1_1,B_AR_BI_1_2,B_AR_BI_1_3,B_AR_BI_1_4,B_AR_BI_1_5,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,B_VE_AW_1,B_VE_AW_2,B_VE_AW_3_1,B_VE_AW_3_2,B_VE_AW_3_3,B_VE_AW_3_4,B_VE_AW_3_5,B_VE_PI_1,B_VE_PI_2,B_VE_PI_3,B_VE_BI_1_1,B_VE_BI_1_2,B_VE_BI_1_3,B_VE_BI_1_4,B_VE_BI_1_5,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,C_AR_AW_1,C_AR_AW_2,C_AR_AW_3_1,C_AR_AW_3_2,C_AR_AW_3_3,C_AR_AW_3_4,C_AR_AW_3_5,C_AR_PI_1,C_AR_PI_2,C_AR_PI_3,C_AR_BI_1_1,C_AR_BI_1_2,C_AR_BI_1_3,C_AR_BI_1_4,C_AR_BI_1_5,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,C_NE_PI_1,C_NE_PI_2,C_NE_PI_3,C_NE_BI_1_1,C_NE_BI_1_2,C_NE_BI_1_3,C_NE_BI_1_4,C_NE_BI_1_5,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,D_1,D_2,D_3,D_4,D_5,D_6,D_7,survey_design
2025-03-15 20:48:50,2025-03-15 21:08:47,IP Address,85.255.236.76,100,1197,True,2025-03-15 21:08:48,R_2BrqFFDoMKFfKEc,,,,,51.4964,-0.1224,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arcteryx, Salomon, Mammut, ummmmmm probably some others too ","The North Face,Patagonia,Columbia,Salomon,Mammut,Jack Wolfskin,Arc'teryx",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,18–24,Male,"£2,000 - £2,500",Weekly,£200-£500,"Online retailers,Luxury boutiques,Department stores","Comfort,Brand reputation",C
2025-03-15 22:00:16,2025-03-15 22:04:51,IP Address,62.232.118.210,100,274,True,2025-03-15 22:04:51,R_2GviqpckTIfF8Yj,,,,,51.5902,0.2015,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The North Face, Patagonia, ArcTeryx, Peak Performance, Helly Hansen","The North Face,Berrghaus,Patagonia,Columbia,Salomon,Mammut,Quachua,Jack Wolfskin,Black Diamond,Helly Hensen,Arc'teryx",Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,"Columbia, Gramicci","On,Stussy,Stone Island,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,000 - £1,500",Monthly,£50–£100,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Comfort,Price,Brand reputation,Sustainability",B
2025-03-15 22:15:43,2025-03-15 22:27:46,IP Address,143.58.167.59,100,722,True,2025-03-15 22:27:46,R_8zl4960EX16I1Rn,,,,,51.5064,-0.02,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"north face, patagonia, ","The North Face,Patagonia,Columbia,Mammut,Jack Wolfskin,Arc'teryx",Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,18–24,Female,"£500 - £1,000",Every few months,£50–£100,Other,"Style/fashion trends,Price,Brand reputation,Sustainability",C
2025-03-15 23:05:51,2025-03-15 23:11:36,IP Address,78.148.220.221,100,344,True,2025-03-15 23:11:36,R_2iJVd77VO65ZMLY,,,,,51.5733,-0.3964,anonymous,EN,"Uniqlo, north face, Moncler","On,Undercover,Stussy,Stone Island,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Somewhat agree,Agree,"Arcteryx, Moncler, Moon boots, Patagonia ","The North Face,Patagonia,Salomon,Arc'teryx",Somewhat agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£500 - £1,000",Monthly,£50–£100,"Online retailers,Luxury boutiques,Fast fashion brands","Style/fashion trends,Comfort",A
2025-03-15 23:11:44,2025-03-15 23:22:08,IP Address,188.30.133.184,100,624,True,2025-03-15 23:22:08,R_8LdKmjGZuWjEuGl,,,,,51.5017,-0.0617,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arterx, North Face, Patagonia, moncler, canada goose, mountain warehouse, norona, Colombia, salomon","The North Face,Berrghaus,Patagonia,Columbia,Salomon,Mammut,Quachua,Jack Wolfskin,Helly Hensen,Arc'teryx",Agree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,18–24,Non-binary / Gender fluid,"£1,500 - £2,000",Every few months,£50–£100,Online retailers,"Style/fashion trends,Comfort",C
2025-03-15 23:21:46,2025-03-15 23:30:23,IP Address,78.86.162.124,100,516,True,2025-03-15 23:30:23,R_2Q6OaHY0AJ6Lh3r,,,,,51.6509,-0.1439,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"north face, mountain warehouse ","The North Face,Patagonia,Columbia,Helly Hensen",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,18–24,Female,Below £500,Every few months,Under £25,"Online retailers,Sustainable fashion brands",Comfort,C
2025-03-15 23:41:08,2025-03-15 23:45:22,IP Address,172.56.218.79,100,253,True,2025-03-15 23:45:22,R_6b046aAqcOIbDAl,,,,,40.0149,-75.1439,anonymous,EN,"Zara, edikted, brandy","On,Stussy,Stone Island,Carhartt",Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,"Arcteryx, northface, burton","The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,000 - £1,500",Weekly,£100–£200,"Online retailers,Luxury boutiques,Fast fashion brands","Style/fashion trends,Comfort,Price",A
2025-03-16 01:37:00,2025-03-16 01:42:55,IP Address,62.30.9.1,100,354,True,2025-03-16 01:42:55,R_8gmBjllufDmHJoB,,,,,52.6733,-1.1913,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arcteryx, mountain warehouse, trespass, patagonia, North face, columbia, hellyhansen, blacks","The North Face,Berrghaus,Patagonia,Columbia,Salomon,Quachua,Jack Wolfskin,Helly Hensen,Arc'teryx",Agree,Disagree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,18–24,Male,"£500 - £1,000",Every few months,£50–£100,"Online retailers,Department stores,Sustainable fashion brands","Style/fashion trends,Comfort,Sustainability",C
2025-03-16 05:38:37,2025-03-16 06:07:44,IP Address,49.229.151.109,100,1747,True,2025-03-16 06:07:45,R_9gT5FkooIXTH33t,,,,,13.7101,100.4543,anonymous,EN,"Uniqlo & Muji ","Acronym,Undercover,Stussy,Nanamica,Carhartt",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Kathmandu, The North Face, Canada Goose, Nike","The North Face,Patagonia,Salomon,Arc'teryx",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,000 - £1,500",Every few months,£100–£200,"Online retailers,Sustainable fashion brands","Style/fashion trends,Sustainability",A
2025-03-16 07:39:13,2025-03-16 07:45:54,IP Address,148.252.147.101,100,400,True,2025-03-16 07:45:54,R_8E7BnWRAzbegoqB,,,,,51.4964,-0.1224,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"salomons, carhartt, jack wolfskin, babor","The North Face,Patagonia,Columbia,Salomon,Jack Wolfskin,Arc'teryx",Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Agree,18–24,Female,"£1,500 - £2,000",Every few months,£50–£100,"Sustainable fashion brands,Other","Comfort,Brand reputation,Other",C
2025-03-16 08:20:20,2025-03-16 08:27:35,IP Address,80.114.171.107,100,434,True,2025-03-16 08:27:35,R_8tGcDNFMOm5Zn8t,,,,,52.352,4.9392,anonymous,EN,"Nike, Adidas, Supreme, Scotch and Soda, ","On,Carhartt",Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Agree,"Patagonia, McKinley","The North Face,Patagonia,Columbia,Salomon,Mammut,Jack Wolfskin",Somewhat agree,Disagree,Disagree,Somewhat disagree,Disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£500 - £1,000",Every few months,£25–£50,"Online retailers,Department stores","Style/fashion trends,Comfort,Price,Sustainability",A
2025-03-16 09:36:04,2025-03-16 09:46:28,IP Address,92.81.39.141,100,623,True,2025-03-16 09:46:28,R_8f2U1AuL5TcTZAf,,,,,47.1314,27.5657,anonymous,EN,"Tom taylor, zara","On,Carhartt",Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,"Mamut, salomon, ","The North Face,Berrghaus,Patagonia,Columbia,Salomon,Mammut,Jack Wolfskin,Helly Hensen",Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45–54,Male,"Over £2,500",Rarely,£50–£100,Department stores,"Comfort,Price,Brand reputation",A
2025-03-16 10:16:40,2025-03-16 10:24:26,IP Address,82.79.135.68,100,465,True,2025-03-16 10:24:26,R_2eerRmwrKG7knUT,,,,,47.1672,27.6083,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nike, Columbia, Patagonia, The North Face","The North Face,Patagonia,Columbia,Salomon,Quachua,Jack Wolfskin",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Disagree,Agree,Somewhat disagree,25–34,Female,Below £500,Every few months,£25–£50,"Online retailers,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Comfort,Price",C
2025-03-16 10:40:53,2025-03-16 10:44:57,IP Address,62.56.38.47,100,244,True,2025-03-16 10:44:58,R_81hHSLd56iprJHt,,,,,51.462,0.1046,anonymous,EN,"Nike
H&m
Uniqlo",Stone Island,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,"North face
Regatta
Nike
Adidas
","The North Face,Patagonia,Jack Wolfskin",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,"£1,500 - £2,000",Every few months,Under £25,"Online retailers,Department stores,Other","Style/fashion trends,Comfort,Price,Brand reputation,Sustainability",A
2025-03-16 11:00:42,2025-03-16 11:10:52,IP Address,97.105.23.131,100,610,True,2025-03-16 11:10:53,R_59tjQxylqGfUz8B,,,,,32.8477,-96.7025,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simond, Salomon, Mamouth, Columbia, Northface, Garmin","The North Face,Columbia,Salomon,Mammut,Quachua,Jack Wolfskin,Helly Hensen",Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,45–54,Male,"Over £2,500",Every few months,£25–£50,"Online retailers,Department stores","Style/fashion trends,Comfort,Price",C
2025-03-16 12:49:15,2025-03-16 12:52:59,IP Address,209.35.70.80,100,224,True,2025-03-16 12:53:00,R_2wiVeU3M9J6p50l,,,,,51.477,-0.1959,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nike, Adidas","The North Face,Patagonia,Columbia,Salomon,Arc'teryx",Strongly disagree,Somewhat disagree,Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,18–24,Female,"£1,500 - £2,000",Monthly,£100–£200,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Comfort",C
2025-03-15 18:59:45,2025-03-16 14:08:56,IP Address,104.28.40.114,100,68950,True,2025-03-16 14:08:57,R_8Nggrnt0jeGTHBx,,,,,52.4867,-1.8989,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Face,"The North Face,Arc'teryx",Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,18–24,Male,"£1,000 - £1,500",Monthly,£100–£200,Department stores,"Style/fashion trends,Brand reputation",C
2025-03-16 14:26:19,2025-03-16 14:32:49,IP Address,79.118.88.204,100,390,True,2025-03-16 14:32:50,R_2lWXYWHsWE69Wop,,,,,47.1672,27.6083,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zara,hm,mohito,mango,","The North Face,Columbia,Salomon,Mammut,Quachua",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Columbia,Stone Island,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45–54,Female,"£500 - £1,000",Monthly,£50–£100,"Online retailers,Fast fashion brands,Other","Comfort,Other",B
2025-03-16 15:01:58,2025-03-16 15:05:35,IP Address,51.190.216.49,100,216,True,2025-03-16 15:05:36,R_8Lcqsz955d7W8cJ,,,,,51.4781,-0.0279,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North face, Patagonia, Fjallraven, Salomon","The North Face,Patagonia,Columbia,Salomon,Quachua",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Strongly agree,18–24,Female,"£1,000 - £1,500",Monthly,£50–£100,"Online retailers,Luxury boutiques","Style/fashion trends,Comfort,Price",C
2025-03-16 17:12:42,2025-03-16 17:16:01,IP Address,152.37.118.234,100,198,True,2025-03-16 17:16:01,R_8KxwInn2pKVVCpo,,,,,51.5064,-0.02,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nike adidas arcteryx Patagonia under armour Solomon swix ","The North Face,Patagonia,Columbia,Salomon,Helly Hensen,Arc'teryx",Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,18–24,Female,"£500 - £1,000",Monthly,£25–£50,"Online retailers,Fast fashion brands,Sustainable fashion brands,Other","Style/fashion trends,Comfort,Price,Brand reputation,Sustainability",C
2025-03-16 17:13:58,2025-03-16 17:21:24,IP Address,81.141.76.26,100,445,True,2025-03-16 17:21:25,R_8zpCsOb3oXclPUn,,,,,51.607,0.4036,anonymous,EN,"Uniqlo, arket, cos ","On,Stussy,Stone Island,Carhartt",Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"The north face, regatta, Uniqlo","The North Face,Berrghaus,Quachua,Jack Wolfskin",Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Female,Below £500,Monthly,Under £25,"Online retailers,Department stores,Fast fashion brands,Sustainable fashion brands","Style/fashion trends,Comfort,Price",A
2025-03-16 17:25:04,2025-03-16 17:28:03,IP Address,62.232.118.210,100,179,True,2025-03-16 17:28:04,R_8ckplIzoUK5Z4YN,,,,,51.5902,0.2015,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Patagonia , north face","The North Face,Patagonia,Columbia,Salomon,Jack Wolfskin",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,North Face,"Stussy,Stone Island,Carhartt",Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18–24,Male,"£1,000 - £1,500",Monthly,£50–£100,"Online retailers,Luxury boutiques,Department stores,Fast fashion brands","Style/fashion trends,Price,Brand reputation",B
